Electoral District Name,Political Affiliation,Candidate's First Name / PrÈnom du candidat,Candidate's Family Name / Nom de famille du candidat
Cape Breton--Canso--Antigonish,Liberal Party of Canada,Jaime,Battiste
Cape Breton--Canso--Antigonish,New Democratic Party,Joanna,Clark
Cape Breton--Canso--Antigonish,Conservative Party of Canada,Allan,MacMaster
Cape Breton--Canso--Antigonish,People's Party of Canada,Ryan,Smyth
Cape Breton--Canso--Antigonish,Independent,Rebecca,Wall
Central Nova,Liberal Party of Canada,Sean,Fraser
Central Nova,Conservative Party of Canada,Brycen,Jenkins
Central Nova,New Democratic Party,Jesiah,MacDonald
Central Nova,People's Party of Canada,Charlie,MacEachern
Central Nova,Independent,Alexander,MacKenzie
Central Nova,Green Party of Canada,Gerald,Romsa
Cumberland--Colchester,Green Party of Canada,Kelly-Ann,Callaghan
Cumberland--Colchester,People's Party of Canada,Paul,Church
Cumberland--Colchester,New Democratic Party,Larry,Duchesne
Cumberland--Colchester,Conservative Party of Canada,Stephen,Ellis
Cumberland--Colchester,Liberal Party of Canada,Alana,Hirtle
Dartmouth--Cole Harbour,Liberal Party of Canada,Darren,Fisher
Dartmouth--Cole Harbour,People's Party of Canada,Michelle,Lindsay
Dartmouth--Cole Harbour,New Democratic Party,Keith,Morrison
Dartmouth--Cole Harbour,Conservative Party of Canada,Isabelle,Obeid
Dartmouth--Cole Harbour,Libertarian Party of Canada,Joseph,Shea
Dartmouth--Cole Harbour,Green Party of Canada,Rana,Zaman
Halifax,People's Party of Canada,Maricar,Aliasut
Halifax,Conservative Party of Canada,Mark,Boudreau
Halifax,Green Party of Canada,Amethyste,Hamel-Gregory
Halifax,Liberal Party of Canada,Shannon,Miedema
Halifax,New Democratic Party,Lisa,Roberts
Halifax West,Conservative Party of Canada,Rob,Batherson
Halifax West,Liberal Party of Canada,Lena Metlege,Diab
Halifax West,People's Party of Canada,Adam,LeRue
Halifax West,Green Party of Canada,Ron G.,Parker
Halifax West,New Democratic Party,Rae,Tench
Kings--Hants,Green Party of Canada,Karen,Beazley
Kings--Hants,Liberal Party of Canada,Kody,Blois
Kings--Hants,People's Party of Canada,Alexander,Cargill
Kings--Hants,New Democratic Party,Paul,Doerr
Kings--Hants,Conservative Party of Canada,Joel,Hirtle
Sackville--Bedford--Preston,Green Party of Canada,Andre,Anderson
Sackville--Bedford--Preston,Conservative Party of Canada,Dave,Carroll
Sackville--Bedford--Preston,Liberal Party of Canada,Braedon,Clark
Sackville--Bedford--Preston,People's Party of Canada,Ryan,Slaney
Sackville--Bedford--Preston,New Democratic Party,Isaac,Wilson
South Shore--St. Margarets,People's Party of Canada,Patrick Shea,Boyd
South Shore--St. Margarets,Green Party of Canada,Mark,Embrett
South Shore--St. Margarets,Liberal Party of Canada,Jessica,Fancy-Landry
South Shore--St. Margarets,Independent,Hayden,Henderson
South Shore--St. Margarets,Conservative Party of Canada,Rick,Perkins
Sydney--Glace Bay,Marxist-Leninist Party of Canada,Nik,Boisvert
Sydney--Glace Bay,People's Party of Canada,Jeffrey,Evely
Sydney--Glace Bay,Canadian Future Party,Chris,Gallant
Sydney--Glace Bay,Liberal Party of Canada,Mike,Kelloway
Sydney--Glace Bay,New Democratic Party,Kimberly,Losier
Sydney--Glace Bay,Conservative Party of Canada,Anna,Manley
Sydney--Glace Bay,Libertarian Party of Canada,Michael,Pittman
Sydney--Glace Bay,Independent,Joe,Ward
Acadie--Bathurst,New Democratic Party,Ty,Boulay
Acadie--Bathurst,Conservative Party of Canada,James,Brown
Acadie--Bathurst,Liberal Party of Canada,Serge,Cormier
Acadie--Bathurst,People's Party of Canada,Randi Rachelle,Raynard
BeausÈjour,Libertarian Party of Canada,Donna,Allen
BeausÈjour,People's Party of Canada,Eddie,Cornell
BeausÈjour,New Democratic Party,Alex,Gagne
BeausÈjour,Liberal Party of Canada,Dominic,LeBlanc
BeausÈjour,Green Party of Canada,Josh,Shaddick
BeausÈjour,Conservative Party of Canada,Nathalie,Vautour
Fredericton--Oromocto,Green Party of Canada,Pam,Allen-Leblanc
Fredericton--Oromocto,Canadian Future Party,Dominic,Cardy
Fredericton--Oromocto,Centrist Party of Canada,Brandon,Ellis
Fredericton--Oromocto,New Democratic Party,Nicki,Lyons-MacFarlane
Fredericton--Oromocto,Conservative Party of Canada,Brian,Macdonald
Fredericton--Oromocto,People's Party of Canada,Heather,Michaud
Fredericton--Oromocto,Liberal Party of Canada,David,Myles
Fredericton--Oromocto,Communist Party of Canada,June,Patterson
Fundy Royal,New Democratic Party,Cindy,Andrie
Fundy Royal,Green Party of Canada,Hans,Johnsen
Fundy Royal,Liberal Party of Canada,Bill,Kudla
Fundy Royal,People's Party of Canada,Alastair,MacFarlane
Fundy Royal,Conservative Party of Canada,Rob,Moore
Madawaska--Restigouche,Liberal Party of Canada,Guillaume,DeschÍnes-ThÈriault
Madawaska--Restigouche,People's Party of Canada,Nancy,Mercier
Madawaska--Restigouche,Conservative Party of Canada,Michel,Morin
Madawaska--Restigouche,New Democratic Party,Daisy,Petersen
Miramichi--Grand Lake,Green Party of Canada,Matthew Ian,Clark
Miramichi--Grand Lake,Conservative Party of Canada,Mike,Dawson
Miramichi--Grand Lake,New Democratic Party,Josh,Floyd
Miramichi--Grand Lake,Liberal Party of Canada,Lisa,Harris
Moncton--Dieppe,Conservative Party of Canada,Jocelyn,Dionne
Moncton--Dieppe,Green Party of Canada,Marshall,Dunn
Moncton--Dieppe,New Democratic Party,Serge,Landry
Moncton--Dieppe,Liberal Party of Canada,Ginette,Petitpas Taylor
Saint John--Kennebecasis,New Democratic Party,Armand,Cormier
Saint John--Kennebecasis,Liberal Party of Canada,Wayne,Long
Saint John--Kennebecasis,Green Party of Canada,David,MacFarquhar
Saint John--Kennebecasis,Libertarian Party of Canada,Austin,Venedam
Saint John--Kennebecasis,Conservative Party of Canada,Melissa,Young
Saint John--St. Croix,New Democratic Party,Andrew,Hill
Saint John--St. Croix,Green Party of Canada,Gerald,Irish
Saint John--St. Croix,Liberal Party of Canada,Karen,Ludwig
Saint John--St. Croix,Libertarian Party of Canada,Keith,Tays
Saint John--St. Croix,Conservative Party of Canada,John,Williamson
Tobique--Mactaquac,Conservative Party of Canada,Richard,Bragdon
Tobique--Mactaquac,People's Party of Canada,Vern,Brundle
Tobique--Mactaquac,Green Party of Canada,Liam,MacDougall
Tobique--Mactaquac,Liberal Party of Canada,Julian,Moulton
Tobique--Mactaquac,New Democratic Party,Michael John,Winter
Abitibi--Baie-James--Nunavik--Eeyou,Bloc QuÈbÈcois,Sylvie,BÈrubÈ
Abitibi--Baie-James--Nunavik--Eeyou,Conservative Party of Canada,Steve,Corriveau
Abitibi--Baie-James--Nunavik--Eeyou,Liberal Party of Canada,Mandy,Gull-Masty
Abitibi--Baie-James--Nunavik--Eeyou,New Democratic Party,Thai Dillon,Higashihara
Abitibi--TÈmiscamingue,Liberal Party of Canada,Jonathan,Andresen
Abitibi--TÈmiscamingue,New Democratic Party,JÈrÈmie,Juneau
Abitibi--TÈmiscamingue,Bloc QuÈbÈcois,SÈbastien,Lemire
Abitibi--TÈmiscamingue,Parti RhinocÈros Party,Vincent,Palin-BussiËres
Abitibi--TÈmiscamingue,Conservative Party of Canada,Steve,Tardif
Ahuntsic-Cartierville,Bloc QuÈbÈcois,Nabila,Ben Youssef
Ahuntsic-Cartierville,New Democratic Party,Idil,Issa
Ahuntsic-Cartierville,Liberal Party of Canada,MÈlanie,Joly
Ahuntsic-Cartierville,Conservative Party of Canada,Margie,Ramos
Ahuntsic-Cartierville,Marxist-Leninist Party of Canada,Linda,Sullivan
Alfred-Pellan,Bloc QuÈbÈcois,Isabel,Dion
Alfred-Pellan,Liberal Party of Canada,Angelo,Iacono
Alfred-Pellan,Conservative Party of Canada,Louis,Ialenti
Alfred-Pellan,New Democratic Party,Jordan,Larochelle
Alfred-Pellan,People's Party of Canada,Ludovic,Mbany
Argenteuil--La Petite-Nation,Conservative Party of Canada,Martin,Charron
Argenteuil--La Petite-Nation,Green Party of Canada,Bertha,Fuchsman-Small
Argenteuil--La Petite-Nation,Bloc QuÈbÈcois,Martin,HÈroux
Argenteuil--La Petite-Nation,Liberal Party of Canada,StÈphane,Lauzon
Argenteuil--La Petite-Nation,People's Party of Canada,Lindsey,Therrien
Argenteuil--La Petite-Nation,New Democratic Party,Michel,Welt
Beauce,People's Party of Canada,Maxime,Bernier
Beauce,Liberal Party of Canada,Maryelle-Henriette,Doumbia
Beauce,Conservative Party of Canada,Jason,Groleau
Beauce,New Democratic Party,Annabelle,Lafond-Poirier
Beauce,Bloc QuÈbÈcois,GaÈtan,Mathieu
Beauharnois--Salaberry--Soulanges--Huntingdon,Bloc QuÈbÈcois,Claude,Debellefeuille
Beauharnois--Salaberry--Soulanges--Huntingdon,New Democratic Party,Tyler,Jones
Beauharnois--Salaberry--Soulanges--Huntingdon,People's Party of Canada,Martin,LÈvesque
Beauharnois--Salaberry--Soulanges--Huntingdon,Liberal Party of Canada,Miguel,Perras
Beauharnois--Salaberry--Soulanges--Huntingdon,Green Party of Canada,Kristian,Solarik
Beauharnois--Salaberry--Soulanges--Huntingdon,Conservative Party of Canada,Priska,St-Pierre
Beauport--Limoilou,New Democratic Party,Raymond,CÙtÈ
Beauport--Limoilou,Green Party of Canada,Dalila,Elhak
Beauport--Limoilou,Conservative Party of Canada,Hugo,Langlois
Beauport--Limoilou,Liberal Party of Canada,Steeve,Lavoie
Beauport--Limoilou,People's Party of Canada,AndrÈe,Massicotte
Beauport--Limoilou,Marxist-Leninist Party of Canada,Claude,Moreau
Beauport--Limoilou,Bloc QuÈbÈcois,Julie,Vignola
BÈcancour--Nicolet--Saurel--AlnÙbak,New Democratic Party,Tommy,Gagnon
BÈcancour--Nicolet--Saurel--AlnÙbak,Green Party of Canada,Yanick,Lapierre
BÈcancour--Nicolet--Saurel--AlnÙbak,Bloc QuÈbÈcois,Louis,Plamondon
BÈcancour--Nicolet--Saurel--AlnÙbak,Conservative Party of Canada,Michel,Plourde
BÈcancour--Nicolet--Saurel--AlnÙbak,People's Party of Canada,Lara,Stillo
BÈcancour--Nicolet--Saurel--AlnÙbak,Liberal Party of Canada,Pierre,Tousignant
Bellechasse--Les Etchemins--LÈvis,Bloc QuÈbÈcois,Gaby,Breton
Bellechasse--Les Etchemins--LÈvis,People's Party of Canada,Mario,FrÈchette
Bellechasse--Les Etchemins--LÈvis,New Democratic Party,Marie-Philippe,Gagnon Gauthier
Bellechasse--Les Etchemins--LÈvis,Liberal Party of Canada,Glenn,O'Farrell
Bellechasse--Les Etchemins--LÈvis,Conservative Party of Canada,Dominique,Vien
Beloeil--Chambly,New Democratic Party,Marie-JosÈe,BÈliveau
Beloeil--Chambly,Bloc QuÈbÈcois,Yves-FranÁois,Blanchet
Beloeil--Chambly,Conservative Party of Canada,Sylvain,Goulet
Beloeil--Chambly,Liberal Party of Canada,Nicholas,Malouin
Beloeil--Chambly,People's Party of Canada,Nicholas,Manes
Berthier--MaskinongÈ,Liberal Party of Canada,StÈphane,Bilodeau
Berthier--MaskinongÈ,New Democratic Party,Ruth Ellen,Brosseau
Berthier--MaskinongÈ,People's Party of Canada,Elia,Gomez-Gnali
Berthier--MaskinongÈ,Bloc QuÈbÈcois,Yves,Perron
Berthier--MaskinongÈ,Conservative Party of Canada,Peter,Saliba
Berthier--MaskinongÈ,Green Party of Canada,Daniel,Simon
Bourassa,Conservative Party of Canada,NÈhÈmie,Dumay
Bourassa,New Democratic Party,Catherine,Gauvin
Bourassa,People's Party of Canada,Jean-Marc,Lamothe
Bourassa,Bloc QuÈbÈcois,Jency,Mercier
Bourassa,Liberal Party of Canada,Abdelhaq,Sari
Bourassa,No Affiliation,Philippe,Tessier
Bourassa,Marxist-Leninist Party of Canada,Dominique,ThÈberge
Brome--Missisquoi,Bloc QuÈbÈcois,Jeff,Boudreault
Brome--Missisquoi,Conservative Party of Canada,Steve,Charbonneau
Brome--Missisquoi,Green Party of Canada,Michelle,Corcos
Brome--Missisquoi,New Democratic Party,ZoÈ,Larose
Brome--Missisquoi,People's Party of Canada,Jack,McLeod
Brome--Missisquoi,Liberal Party of Canada,Louis,Villeneuve
Brossard--Saint-Lambert,Green Party of Canada,Gregory,De Luca
Brossard--Saint-Lambert,People's Party of Canada,Hector,Huerta
Brossard--Saint-Lambert,Conservative Party of Canada,William,Huynh-Jan
Brossard--Saint-Lambert,Liberal Party of Canada,Alexandra,MendËs
Brossard--Saint-Lambert,New Democratic Party,Zeinab,Mistou Akkaoui
Brossard--Saint-Lambert,Bloc QuÈbÈcois,Soledad,Orihuela-Bouchard
Charlesbourg--Haute-Saint-Charles,Liberal Party of Canada,Louis,Bellemare
Charlesbourg--Haute-Saint-Charles,Independent,Danick,Bisson
Charlesbourg--Haute-Saint-Charles,People's Party of Canada,Paul,Cyr
Charlesbourg--Haute-Saint-Charles,New Democratic Party,Dominique,Harrisson
Charlesbourg--Haute-Saint-Charles,Bloc QuÈbÈcois,Bladimir,Laborit Infante
Charlesbourg--Haute-Saint-Charles,Conservative Party of Canada,Pierre,Paul-Hus
Ch‚teauguay--Les Jardins-de-Napierville,Conservative Party of Canada,David,De Repentigny
Ch‚teauguay--Les Jardins-de-Napierville,Green Party of Canada,Martine,Desrochers
Ch‚teauguay--Les Jardins-de-Napierville,People's Party of Canada,Nicolas,GuÈrin
Ch‚teauguay--Les Jardins-de-Napierville,Bloc QuÈbÈcois,Patrick,O'Hara
Ch‚teauguay--Les Jardins-de-Napierville,Liberal Party of Canada,Nathalie,Provost
Ch‚teauguay--Les Jardins-de-Napierville,New Democratic Party,Hannah,Wolker
Chicoutimi--Le Fjord,New Democratic Party,RaphaÎl,…mond
Chicoutimi--Le Fjord,Green Party of Canada,Yves,Laporte
Chicoutimi--Le Fjord,Conservative Party of Canada,Richard,Martel
Chicoutimi--Le Fjord,Liberal Party of Canada,StÈphane,Proulx
Chicoutimi--Le Fjord,People's Party of Canada,FranÁois,Sabourin
Chicoutimi--Le Fjord,Bloc QuÈbÈcois,Marc,St-Hilaire
Compton--Stanstead,Bloc QuÈbÈcois,Nathalie,Bresse
Compton--Stanstead,Liberal Party of Canada,Marianne,Dandurand
Compton--Stanstead,New Democratic Party,ValÈrie,LalibertÈ
Compton--Stanstead,People's Party of Canada,Paul,Lehmann
Compton--Stanstead,Conservative Party of Canada,Jacques,Painchaud
Compton--Stanstead,Green Party of Canada,SÈbastien,Tremblay
CÙte-du-Sud-RiviËre-du-Loup-Kataskomiq-TÈmiscouata,Conservative Party of Canada,Bernard,GÈnÈreux
CÙte-du-Sud-RiviËre-du-Loup-Kataskomiq-TÈmiscouata,New Democratic Party,Iseult,L'Heureux Hubert
CÙte-du-Sud-RiviËre-du-Loup-Kataskomiq-TÈmiscouata,Liberal Party of Canada,RÈmi,MassÈ
CÙte-du-Sud-RiviËre-du-Loup-Kataskomiq-TÈmiscouata,Parti RhinocÈros Party,Thibaud,Mony
CÙte-du-Sud-RiviËre-du-Loup-Kataskomiq-TÈmiscouata,People's Party of Canada,Jean-FranÁois,Morin
CÙte-du-Sud-RiviËre-du-Loup-Kataskomiq-TÈmiscouata,Green Party of Canada,Alexie,Plourde
CÙte-du-Sud-RiviËre-du-Loup-Kataskomiq-TÈmiscouata,Bloc QuÈbÈcois,Diane,SÈnÈcal
CÙte-Nord--Kawawachikamach--Nitassinan,No Affiliation,Gilles,Babin
CÙte-Nord--Kawawachikamach--Nitassinan,Parti RhinocÈros Party,SÈbastien,Beaulieu
CÙte-Nord--Kawawachikamach--Nitassinan,Liberal Party of Canada,Kevin,Coutu
CÙte-Nord--Kawawachikamach--Nitassinan,Conservative Party of Canada,MÈlanie,Dorion
CÙte-Nord--Kawawachikamach--Nitassinan,Bloc QuÈbÈcois,MarilËne,Gill
CÙte-Nord--Kawawachikamach--Nitassinan,New Democratic Party,Marika,Lalime
Dorval--Lachine--LaSalle,Green Party of Canada,Amir,Badr Eldeen
Dorval--Lachine--LaSalle,Liberal Party of Canada,Anju,Dhillon
Dorval--Lachine--LaSalle,Parti RhinocÈros Party,AndrÈ,Lavigne
Dorval--Lachine--LaSalle,New Democratic Party,AngÈlique Soleil,Lavoie
Dorval--Lachine--LaSalle,No Affiliation,Katy,Le Rougetel
Dorval--Lachine--LaSalle,People's Party of Canada,Michael,Patterson
Dorval--Lachine--LaSalle,Bloc QuÈbÈcois,Pauline Fleur Julie,Postel
Dorval--Lachine--LaSalle,Conservative Party of Canada,Alioune,Sarr
Drummond,Bloc QuÈbÈcois,Martin,Champoux
Drummond,New Democratic Party,FranÁois,Choquette
Drummond,Conservative Party of Canada,FranÁois,FrÈchette
Drummond,Liberal Party of Canada,Ghada,Jerbi
Drummond,People's Party of Canada,William,Trottier
GaspÈsie--Les Œles-de-la-Madeleine--Listuguj,Bloc QuÈbÈcois,Alexis,DeschÍnes
GaspÈsie--Les Œles-de-la-Madeleine--Listuguj,New Democratic Party,Denise,Giroux
GaspÈsie--Les Œles-de-la-Madeleine--Listuguj,Parti RhinocÈros Party,Shawn,Grenier
GaspÈsie--Les Œles-de-la-Madeleine--Listuguj,Liberal Party of Canada,Diane,Lebouthillier
GaspÈsie--Les Œles-de-la-Madeleine--Listuguj,Conservative Party of Canada,Jean-Pierre,Pigeon
GaspÈsie--Les Œles-de-la-Madeleine--Listuguj,People's Party of Canada,Christian,Rioux
Gatineau,Liberal Party of Canada,Steven,MacKinnon
Gatineau,Bloc QuÈbÈcois,Richard,Nadeau
Gatineau,Conservative Party of Canada,Kethlande,Pierre
Gatineau,People's Party of Canada,Mathieu,Saint-Jean
Gatineau,New Democratic Party,Daniel,Simoncic
Gatineau,Marxist-Leninist Party of Canada,Pierre,SoubliËre
Hochelaga--Rosemont-Est,Conservative Party of Canada,Carl,Belley
Hochelaga--Rosemont-Est,Marxist-Leninist Party of Canada,Christine,Dandenault
Hochelaga--Rosemont-Est,New Democratic Party,Julie,Girard-Lemay
Hochelaga--Rosemont-Est,Bloc QuÈbÈcois,Rose,Lessard
Hochelaga--Rosemont-Est,Liberal Party of Canada,Marie-Gabrielle,MÈnard
Hochelaga--Rosemont-Est,Green Party of Canada,Jacob,Pirro
HonorÈ-Mercier,People's Party of Canada,Marie-Louise,Beauchamp
HonorÈ-Mercier,Green Party of Canada,GaÎtan,BÈrard
HonorÈ-Mercier,Bloc QuÈbÈcois,Edline,Henri
HonorÈ-Mercier,Conservative Party of Canada,Ingrid Fernanda,Megni
HonorÈ-Mercier,New Democratic Party,Djaouida,Sellah
HonorÈ-Mercier,Liberal Party of Canada,Eric,St-Pierre
Hull--Aylmer,Conservative Party of Canada,Jill,Declare
Hull--Aylmer,Marxist-Leninist Party of Canada,Alexandre,DeschÍnes
Hull--Aylmer,People's Party of Canada,Jean-Jacques,Desgranges
Hull--Aylmer,Liberal Party of Canada,Greg,Fergus
Hull--Aylmer,Bloc QuÈbÈcois,Alice,Grondin
Hull--Aylmer,New Democratic Party,Pascale,Matecki
Hull--Aylmer,Green Party of Canada,FrÈdÈric,Morin-Paquette
Joliette--Manawan,Liberal Party of Canada,Marc,Allaire
Joliette--Manawan,Conservative Party of Canada,Pascal,Bapfou Vozang Siewe
Joliette--Manawan,New Democratic Party,Vanessa,Gordon
Joliette--Manawan,Green Party of Canada,…rica,Poirier
Joliette--Manawan,Bloc QuÈbÈcois,Gabriel,Ste-Marie
JonquiËre,Conservative Party of Canada,Fanny,Boulanger
JonquiËre,New Democratic Party,Lise,Garon
JonquiËre,People's Party of Canada,Patrick,Gaudreault
JonquiËre,Bloc QuÈbÈcois,Mario,Simard
JonquiËre,Liberal Party of Canada,William,Van Tassel
JonquiËre,Green Party of Canada,Marie-JosÈe,Yelle
La Pointe-de-l'Œle,Bloc QuÈbÈcois,Mario,Beaulieu
La Pointe-de-l'Œle,New Democratic Party,Ghada,Chaabi
La Pointe-de-l'Œle,Green Party of Canada,Olivier,Huard
La Pointe-de-l'Œle,Liberal Party of Canada,Viviane,Minko
La Pointe-de-l'Œle,Conservative Party of Canada,Violetta,Potapova
La Pointe-de-l'Œle,Marxist-Leninist Party of Canada,GeneviËve,Royer
La Prairie--Atateken,New Democratic Party,Mathieu,Boisvert
La Prairie--Atateken,People's Party of Canada,Ruth,Fontaine
La Prairie--Atateken,Green Party of Canada,Barbara,Joannette
La Prairie--Atateken,Conservative Party of Canada,Dave,Pouliot
La Prairie--Atateken,Liberal Party of Canada,Jacques,Ramsay
La Prairie--Atateken,Bloc QuÈbÈcois,Alain,Therrien
Lac-Saint-Jean,Conservative Party of Canada,Dave,Blackburn
Lac-Saint-Jean,New Democratic Party,Hugues,Boily-Maltais
Lac-Saint-Jean,People's Party of Canada,Lorie,Bouchard
Lac-Saint-Jean,Bloc QuÈbÈcois,Alexis,Brunelle-Duceppe
Lac-Saint-Jean,Liberal Party of Canada,Denis,Lemieux
Lac-Saint-Louis,People's Party of Canada,Mathieu,Dufort
Lac-Saint-Louis,New Democratic Party,Gregory,Evdokias
Lac-Saint-Louis,Bloc QuÈbÈcois,Tommy,Fournier
Lac-Saint-Louis,Green Party of Canada,Raymond,Frizzell
Lac-Saint-Louis,Conservative Party of Canada,Matthew,Rusniak
Lac-Saint-Louis,Liberal Party of Canada,Francis,Scarpaleggia
LaSalle--…mard--Verdun,Green Party of Canada,Bisma,Ansari
LaSalle--…mard--Verdun,Marxist-Leninist Party of Canada,Normand,Chouinard
LaSalle--…mard--Verdun,Parti RhinocÈros Party,FrÈdÈric,DÈnommÈ
LaSalle--…mard--Verdun,Conservative Party of Canada,Zsolt,Fischer
LaSalle--…mard--Verdun,Liberal Party of Canada,Claude,Guay
LaSalle--…mard--Verdun,Centrist Party of Canada,Fang,Hu
LaSalle--…mard--Verdun,Communist Party of Canada,Manuel,Johnson
LaSalle--…mard--Verdun,New Democratic Party,Craig,SauvÈ
LaSalle--…mard--Verdun,Bloc QuÈbÈcois,Louis-Philippe,SauvÈ
LaSalle--…mard--Verdun,People's Party of Canada,Gregory,Yablunovsky
Laurentides--Labelle,People's Party of Canada,AmÈlie,Charbonneau
Laurentides--Labelle,Bloc QuÈbÈcois,Marie-HÈlËne,Gaudreau
Laurentides--Labelle,Green Party of Canada,Michel,Le Comte
Laurentides--Labelle,New Democratic Party,Michel,NoÎl De Tilly
Laurentides--Labelle,Conservative Party of Canada,Daniel,Paquette
Laurentides--Labelle,Liberal Party of Canada,Emrick,Vienneau
Laurier--Sainte-Marie,People's Party of Canada,EugËne,Duplessis
Laurier--Sainte-Marie,Conservative Party of Canada,Mathieu,Fournier
Laurier--Sainte-Marie,Liberal Party of Canada,Steven,Guilbeault
Laurier--Sainte-Marie,Marxist-Leninist Party of Canada,Michel,Labelle
Laurier--Sainte-Marie,Bloc QuÈbÈcois,Emmanuel,Lapierre
Laurier--Sainte-Marie,Independent,Simon-Pierre,Lauzon
Laurier--Sainte-Marie,New Democratic Party,Nim‚,Machouf
Laurier--Sainte-Marie,Independent,Dimitri,Mourkes
Laurier--Sainte-Marie,Green Party of Canada,Dylan,Perceval-Maxwell
Laurier--Sainte-Marie,Parti RhinocÈros Party,Chantal,Poulin
Laurier--Sainte-Marie,Communist Party of Canada,Adrien,Welsh
Laval--Les Œles,Bloc QuÈbÈcois,Catherine,Dansereau-Redhead
Laval--Les Œles,Liberal Party of Canada,FayÁal,El-Khoury
Laval--Les Œles,New Democratic Party,…tienne,Loiselle-Schiettekatte
Laval--Les Œles,Conservative Party of Canada,Konstantinos,Merakos
Les Pays-d'en-Haut,New Democratic Party,Eric-Abel,Baland
Les Pays-d'en-Haut,Bloc QuÈbÈcois,Ariane,Charbonneau
Les Pays-d'en-Haut,Conservative Party of Canada,Vincent,Leroux
Les Pays-d'en-Haut,People's Party of Canada,George,Mogiljansky
Les Pays-d'en-Haut,Green Party of Canada,Karine,Steinberger
Les Pays-d'en-Haut,Liberal Party of Canada,Tim,Watchorn
LÈvis--LotbiniËre,New Democratic Party,Molly,Cornish
LÈvis--LotbiniËre,Liberal Party of Canada,Ghislain,Daigle
LÈvis--LotbiniËre,Conservative Party of Canada,Jacques,Gourde
LÈvis--LotbiniËre,Bloc QuÈbÈcois,Pierre,Julien
LÈvis--LotbiniËre,People's Party of Canada,Pier-Olivier,Roy
Longueuil--Charles-LeMoyne,Parti RhinocÈros Party,Donald,Gagnon
Longueuil--Charles-LeMoyne,New Democratic Party,Marie-AndrÈe,Gravel
Longueuil--Charles-LeMoyne,Bloc QuÈbÈcois,Beritan,Oerde
Longueuil--Charles-LeMoyne,People's Party of Canada,Tiny,Olinga
Longueuil--Charles-LeMoyne,Conservative Party of Canada,Terry,Roberts
Longueuil--Charles-LeMoyne,Liberal Party of Canada,Sherry,Romanado
Longueuil--Saint-Hubert,New Democratic Party,Nesrine,Benhadj
Longueuil--Saint-Hubert,Conservative Party of Canada,Martine,Boucher
